model_a,model_b,metric,mean_a,mean_b,mean_diff,t_statistic,t_pvalue,t_significant,wilcoxon_statistic,wilcoxon_pvalue,wilcoxon_significant,cohens_d,t_pvalue_corrected,t_significant_corrected
popularity,tfidf,precision,0.07441860465116279,0.09534883720930232,-0.020930232558139535,-2.6677996198581857,0.010800505650731547,True,14.0,0.01255491859696655,True,-0.6038138353722499,0.19440910171316783,False
popularity,tfidf,recall,0.7441860465116279,0.9534883720930233,-0.20930232558139536,-2.6677996198581857,0.010800505650731547,True,14.0,0.01255491859696655,True,-0.6038138353722503,0.19440910171316783,False
popularity,tfidf,ndcg,0.3842748060881811,0.439667999196335,-0.05539319310815392,-0.9469069059420471,0.3491026497219959,False,364.0,0.18729503738786546,False,-0.2170831478095026,1.0,False
popularity,itemknn,precision,0.07441860465116279,0.09999999999999998,-0.025581395348837212,-3.799671038392666,0.00046121504999680857,True,0.0,0.0009111188771537128,True,-0.8194581306613387,0.008301870899942554,True
popularity,itemknn,recall,0.7441860465116279,1.0,-0.2558139534883721,-3.7996710383926664,0.0004612150499968086,True,0.0,0.0009111188771537128,True,-0.8194581306613395,0.008301870899942556,True
popularity,itemknn,ndcg,0.3842748060881811,0.5381972906830553,-0.15392248459487426,-2.2101487270408584,0.03259759207579941,True,241.0,0.03727214187599894,True,-0.5278363454205055,0.5867566573643894,False
popularity,hybrid,precision,0.07441860465116279,0.09999999999999998,-0.025581395348837212,-3.799671038392666,0.00046121504999680857,True,0.0,0.0009111188771537128,True,-0.8194581306613387,0.008301870899942554,True
popularity,hybrid,recall,0.7441860465116279,1.0,-0.2558139534883721,-3.7996710383926664,0.0004612150499968086,True,0.0,0.0009111188771537128,True,-0.8194581306613395,0.008301870899942556,True
popularity,hybrid,ndcg,0.3842748060881811,0.5733481351808675,-0.18907332909268637,-3.381443622078031,0.0015692026070023356,True,139.5,0.0008007409931917742,True,-0.6667506405847223,0.02824564692604204,True
tfidf,itemknn,precision,0.09534883720930232,0.09999999999999998,-0.004651162790697674,-1.4313561708410938,0.1597277225668737,False,0.0,0.15729920705028505,False,-0.30869421068729846,1.0,False
tfidf,itemknn,recall,0.9534883720930233,1.0,-0.046511627906976744,-1.4313561708410938,0.1597277225668737,False,0.0,0.15729920705028505,False,-0.3086942106872992,1.0,False
tfidf,itemknn,ndcg,0.439667999196335,0.5381972906830553,-0.09852929148672035,-2.148607066766217,0.03747699698813756,True,341.5,0.4960522700651451,False,-0.5211554641574966,0.6745859457864761,False
tfidf,hybrid,precision,0.09534883720930232,0.09999999999999998,-0.004651162790697674,-1.4313561708410938,0.1597277225668737,False,0.0,0.15729920705028505,False,-0.30869421068729846,1.0,False
tfidf,hybrid,recall,0.9534883720930233,1.0,-0.046511627906976744,-1.4313561708410938,0.1597277225668737,False,0.0,0.15729920705028505,False,-0.3086942106872992,1.0,False
tfidf,hybrid,ndcg,0.439667999196335,0.5733481351808675,-0.13368013598453246,-4.063633123676911,0.00020702819505759282,True,83.0,0.0011645975125974344,True,-0.757771572929209,0.003726507511036671,True
itemknn,hybrid,precision,0.09999999999999998,0.09999999999999998,0.0,,,False,0.0,,False,0.0,,False
itemknn,hybrid,recall,1.0,1.0,0.0,,,False,0.0,,False,0.0,,False
itemknn,hybrid,ndcg,0.5381972906830553,0.5733481351808675,-0.035150844497812125,-0.8201393114653519,0.41676705179054063,False,219.0,0.07285354875828592,False,-0.15558062208606133,1.0,False
